Date,Open,High,Low,Close,Adj Close,Volume
13-Mar-25,215.95,216.84,208.42,209.68,208.97,"61,368,300"
12-Mar-25,220.14,221.75,214.91,216.98,216.24,"62,547,500"
11-Mar-25,223.81,225.84,217.45,220.84,220.09,"76,137,400"
10-Mar-25,235.54,236.16,224.22,227.48,226.7,"72,071,200"
7-Mar-25,235.11,241.37,234.76,239.07,238.26,"46,273,600"
6-Mar-25,234.44,237.86,233.16,235.33,234.53,"45,170,400"
5-Mar-25,235.42,236.55,229.23,235.74,234.94,"47,227,600"
4-Mar-25,237.71,240.07,234.68,235.93,235.13,"53,798,100"
3-Mar-25,241.79,244.03,236.11,238.03,237.22,"47,184,000"
28-Feb-25,236.95,242.09,230.2,241.84,241.02,"56,833,400"
27-Feb-25,239.41,242.46,237.06,237.3,236.49,"41,153,600"
26-Feb-25,244.33,244.98,239.13,240.36,239.54,"44,433,600"
25-Feb-25,248,250,244.91,247.04,246.2,"48,013,300"
24-Feb-25,244.93,248.86,244.42,247.1,246.26,"51,326,400"
21-Feb-25,245.95,248.69,245.22,245.55,244.71,"53,197,400"
20-Feb-25,244.94,246.78,244.29,245.83,244.99,"32,316,900"
19-Feb-25,244.66,246.01,243.16,244.87,244.04,"32,204,200"
18-Feb-25,244.15,245.18,241.84,244.47,243.64,"48,822,500"
14-Feb-25,241.25,245.55,240.99,244.6,243.77,"40,896,200"
13-Feb-25,236.91,242.34,235.57,241.53,240.71,"53,614,100"
12-Feb-25,231.2,236.96,230.68,236.87,236.06,"45,243,300"
11-Feb-25,228.2,235.23,228.13,232.62,231.83,"53,718,400"
10-Feb-25,229.57,230.59,227.2,227.65,226.87,"33,115,600"
7-Feb-25,232.6,234,227.26,227.63,226.61,"39,707,200"
6-Feb-25,231.29,233.8,230.43,233.22,232.17,"29,925,300"
5-Feb-25,228.53,232.67,228.27,232.47,231.42,"39,620,300"
4-Feb-25,227.25,233.13,226.65,232.8,231.75,"45,067,300"
3-Feb-25,229.99,231.83,225.7,228.01,226.98,"73,063,300"
31-Jan-25,247.19,247.19,233.44,236,234.94,"100,959,800"
30-Jan-25,238.67,240.79,237.21,237.59,236.52,"55,658,300"
29-Jan-25,234.12,239.86,234.01,239.36,238.28,"45,486,100"
28-Jan-25,230.85,240.19,230.81,238.26,237.19,"75,707,600"
27-Jan-25,224.02,232.15,223.98,229.86,228.83,"94,863,400"
24-Jan-25,224.78,225.63,221.41,222.78,221.78,"54,697,900"
23-Jan-25,224.74,227.03,222.3,223.66,222.65,"60,234,800"
22-Jan-25,219.79,224.12,219.79,223.83,222.82,"64,126,500"
21-Jan-25,224,224.42,219.38,222.64,221.64,"98,070,400"
17-Jan-25,232.12,232.29,228.48,229.98,228.94,"68,488,300"
16-Jan-25,237.35,238.01,228.03,228.26,227.23,"71,759,100"
15-Jan-25,234.64,238.96,234.43,237.87,236.8,"39,832,000"
14-Jan-25,234.75,236.12,232.47,233.28,232.23,"39,435,300"
13-Jan-25,233.53,234.67,229.72,234.4,233.34,"49,630,700"
10-Jan-25,240.01,240.16,233,236.85,235.78,"61,710,900"
8-Jan-25,241.92,243.71,240.05,242.7,241.61,"37,628,900"
7-Jan-25,242.98,245.55,241.35,242.21,241.12,"40,856,000"
6-Jan-25,244.31,247.33,243.2,245,243.9,"45,045,600"
3-Jan-25,243.36,244.18,241.89,243.36,242.26,"40,244,100"
2-Jan-25,248.93,249.1,241.82,243.85,242.75,"55,740,700"
31-Dec-24,252.44,253.28,249.43,250.42,249.29,"39,480,700"
30-Dec-24,252.23,253.5,250.75,252.2,251.06,"35,557,500"
27-Dec-24,257.83,258.7,253.06,255.59,254.44,"42,355,300"
26-Dec-24,258.19,260.1,257.63,259.02,257.85,"27,237,100"
24-Dec-24,255.49,258.21,255.29,258.2,257.04,"23,234,700"
23-Dec-24,254.77,255.65,253.45,255.27,254.12,"40,858,800"
20-Dec-24,248.04,255,245.69,254.49,253.34,"147,495,300"
19-Dec-24,247.5,252,247.09,249.79,248.67,"60,882,300"
18-Dec-24,252.16,254.28,247.74,248.05,246.93,"56,774,100"
17-Dec-24,250.08,253.83,249.78,253.48,252.34,"51,356,400"
16-Dec-24,247.99,251.38,247.65,251.04,249.91,"51,694,800"
13-Dec-24,247.82,249.29,246.24,248.13,247.01,"33,155,300"
12-Dec-24,246.89,248.74,245.68,247.96,246.84,"32,777,500"
11-Dec-24,247.96,250.8,246.26,246.49,245.38,"45,205,800"
10-Dec-24,246.89,248.21,245.34,247.77,246.65,"36,914,800"
9-Dec-24,241.83,247.24,241.75,246.75,245.64,"44,649,200"
6-Dec-24,242.91,244.63,242.08,242.84,241.75,"36,870,600"
5-Dec-24,243.99,244.54,242.13,243.04,241.95,"40,033,900"
4-Dec-24,242.87,244.11,241.25,243.01,241.92,"44,383,900"
3-Dec-24,239.81,242.76,238.9,242.65,241.56,"38,861,000"
2-Dec-24,237.27,240.79,237.16,239.59,238.51,"48,137,100"
29-Nov-24,234.81,237.81,233.97,237.33,236.26,"28,481,400"
27-Nov-24,234.47,235.69,233.81,234.93,233.87,"33,498,400"
26-Nov-24,233.33,235.57,233.33,235.06,234,"45,986,200"
25-Nov-24,231.46,233.25,229.74,232.87,231.82,"90,152,800"
22-Nov-24,228.06,230.72,228.06,229.87,228.84,"38,168,300"
21-Nov-24,228.88,230.16,225.71,228.52,227.49,"42,108,300"
20-Nov-24,228.06,229.93,225.89,229,227.97,"35,169,600"
19-Nov-24,226.98,230.16,226.66,228.28,227.25,"36,211,800"
18-Nov-24,225.25,229.74,225.17,228.02,226.99,"44,633,700"
15-Nov-24,226.4,226.92,224.27,225,223.99,"47,923,700"
14-Nov-24,225.02,228.87,225,228.22,227.19,"44,923,900"
13-Nov-24,224.01,226.65,222.76,225.12,224.11,"48,566,200"
12-Nov-24,224.55,225.59,223.36,224.23,223.22,"40,398,300"
11-Nov-24,225,225.7,221.5,224.23,223.22,"42,005,600"
8-Nov-24,227.17,228.66,226.41,226.96,225.94,"38,328,800"
7-Nov-24,224.63,227.88,224.57,227.48,226.21,"42,137,700"
6-Nov-24,222.61,226.07,221.19,222.72,221.47,"54,561,100"
5-Nov-24,221.8,223.95,221.14,223.45,222.2,"28,111,300"
4-Nov-24,220.99,222.79,219.71,222.01,220.77,"44,944,500"
1-Nov-24,220.97,225.35,220.27,222.91,221.66,"65,276,700"
31-Oct-24,229.34,229.83,225.37,225.91,224.65,"64,370,100"
30-Oct-24,232.61,233.47,229.55,230.1,228.81,"47,070,900"
29-Oct-24,233.1,234.33,232.32,233.67,232.36,"35,417,200"
28-Oct-24,233.32,234.73,232.55,233.4,232.09,"36,087,100"
25-Oct-24,229.74,233.22,229.57,231.41,230.11,"38,802,300"
24-Oct-24,229.98,230.82,228.41,230.57,229.28,"31,109,500"
23-Oct-24,234.08,235.14,227.76,230.76,229.47,"52,287,000"
22-Oct-24,233.89,236.22,232.6,235.86,234.54,"38,846,600"
21-Oct-24,234.45,236.85,234.45,236.48,235.16,"36,254,500"
18-Oct-24,236.18,236.18,234.01,235,233.68,"46,431,500"
17-Oct-24,233.43,233.85,230.52,232.15,230.85,"32,993,800"
16-Oct-24,231.6,232.12,229.84,231.78,230.48,"34,082,200"
15-Oct-24,233.61,237.49,232.37,233.85,232.54,"64,751,400"
14-Oct-24,228.7,231.73,228.6,231.3,230.01,"39,882,100"
11-Oct-24,229.3,229.41,227.34,227.55,226.28,"31,759,200"
10-Oct-24,227.78,229.5,227.17,229.04,227.76,"28,183,500"
9-Oct-24,225.23,229.75,224.83,229.54,228.26,"33,591,100"
8-Oct-24,224.3,225.98,223.25,225.77,224.51,"31,855,700"
7-Oct-24,224.5,225.69,221.33,221.69,220.45,"39,505,400"
4-Oct-24,227.9,228,224.13,226.8,225.53,"37,245,100"
3-Oct-24,225.14,226.81,223.32,225.67,224.41,"34,044,200"
2-Oct-24,225.89,227.37,223.02,226.78,225.51,"32,880,600"
1-Oct-24,229.52,229.65,223.74,226.21,224.94,"63,285,000"
30-Sep-24,230.04,233,229.65,233,231.7,"54,541,900"
27-Sep-24,228.46,229.52,227.3,227.79,226.52,"34,026,000"
26-Sep-24,227.3,228.5,225.41,227.52,226.25,"36,636,700"
25-Sep-24,224.93,227.29,224.02,226.37,225.1,"42,308,700"
24-Sep-24,228.65,229.35,225.73,227.37,226.1,"43,556,100"
23-Sep-24,227.34,229.45,225.81,226.47,225.2,"54,146,000"
20-Sep-24,229.97,233.09,227.62,228.2,226.92,"318,679,900"
19-Sep-24,224.99,229.82,224.63,228.87,227.59,"66,781,300"
18-Sep-24,217.55,222.71,217.54,220.69,219.45,"59,894,900"
17-Sep-24,215.75,216.9,214.5,216.79,215.58,"45,519,300"
16-Sep-24,216.54,217.22,213.92,216.32,215.11,"59,357,400"
13-Sep-24,223.58,224.04,221.91,222.5,221.25,"36,766,600"
12-Sep-24,222.5,223.55,219.82,222.77,221.52,"37,455,600"
11-Sep-24,221.46,223.09,217.89,222.66,221.41,"44,587,100"
10-Sep-24,218.92,221.48,216.73,220.11,218.88,"51,591,000"
9-Sep-24,220.82,221.27,216.71,220.91,219.67,"67,180,000"
6-Sep-24,223.95,225.24,219.77,220.82,219.58,"48,423,000"
5-Sep-24,221.63,225.48,221.52,222.38,221.14,"36,615,400"
4-Sep-24,221.66,221.78,217.48,220.85,219.61,"43,840,200"
3-Sep-24,228.55,229,221.17,222.77,221.52,"50,190,600"
30-Aug-24,230.19,230.4,227.48,229,227.72,"52,990,800"
29-Aug-24,230.1,232.92,228.88,229.79,228.5,"51,906,300"
28-Aug-24,227.92,229.86,225.68,226.49,225.22,"38,052,200"
27-Aug-24,226,228.85,224.89,228.03,226.75,"35,934,600"
26-Aug-24,226.76,227.28,223.89,227.18,225.91,"30,602,200"
23-Aug-24,225.66,228.22,224.33,226.84,225.57,"38,677,300"
22-Aug-24,227.79,228.34,223.9,224.53,223.27,"43,695,300"
21-Aug-24,226.52,227.98,225.05,226.4,225.13,"34,765,500"
20-Aug-24,225.77,227.17,225.45,226.51,225.24,"30,299,000"
19-Aug-24,225.72,225.99,223.04,225.89,224.63,"40,687,800"
16-Aug-24,223.92,226.83,223.65,226.05,224.78,"44,340,200"
15-Aug-24,224.6,225.35,222.76,224.72,223.46,"46,414,000"
14-Aug-24,220.57,223.03,219.7,221.72,220.48,"41,960,600"
13-Aug-24,219.01,221.89,219.01,221.27,220.03,"44,155,300"
12-Aug-24,216.07,219.51,215.6,217.53,216.31,"38,028,100"
9-Aug-24,212.1,216.78,211.97,216.24,214.78,"42,201,600"
8-Aug-24,213.11,214.2,208.83,213.31,211.87,"47,161,100"
7-Aug-24,206.9,213.64,206.39,209.82,208.4,"63,516,400"
6-Aug-24,205.3,209.99,201.07,207.23,205.83,"69,660,500"
5-Aug-24,199.09,213.5,196,209.27,207.86,"119,548,600"
2-Aug-24,219.15,225.6,217.71,219.86,218.38,"105,568,600"
1-Aug-24,224.37,224.48,217.02,218.36,216.89,"62,501,000"
31-Jul-24,221.44,223.82,220.63,222.08,220.58,"50,036,300"
30-Jul-24,219.19,220.33,216.12,218.8,217.32,"41,643,800"
29-Jul-24,216.96,219.3,215.75,218.24,216.77,"36,311,800"
26-Jul-24,218.7,219.49,216.01,217.96,216.49,"41,601,300"
25-Jul-24,218.93,220.85,214.62,217.49,216.02,"51,391,200"
24-Jul-24,224,224.8,217.13,218.54,217.07,"61,777,600"
23-Jul-24,224.37,226.94,222.68,225.01,223.49,"39,960,300"
22-Jul-24,227.01,227.78,223.09,223.96,222.45,"48,201,800"
19-Jul-24,224.82,226.8,223.28,224.31,222.8,"49,151,500"
18-Jul-24,230.28,230.44,222.27,224.18,222.67,"66,034,600"
17-Jul-24,229.45,231.46,226.64,228.88,227.34,"57,345,900"
16-Jul-24,235,236.27,232.33,234.82,233.24,"43,234,300"
15-Jul-24,236.48,237.23,233.09,234.4,232.82,"62,631,300"
12-Jul-24,228.92,232.64,228.68,230.54,228.98,"53,046,500"
11-Jul-24,231.39,232.39,225.77,227.57,226.03,"64,710,600"
